"Feature name","Baseline status","Chrome Availability Status","Chrome Availability Version","Chrome Availability Date","Edge Availability Status","Edge Availability Version","Edge Availability Date","Firefox Availability Status","Firefox Availability Version","Firefox Availability Date","Safari Availability Status","Safari Availability Version","Safari Availability Date","Chrome WPT Stable Score","Edge WPT Stable Score","Firefox WPT Stable Score","Safari WPT Stable Score","Chrome Usage"
"Voluptate22","newly","available","9","2022-03-16","available","6","2021-03-19","available","2","2020-01-20","available","1","2020-01-09","0.500739645","0.502392344","0.416932907","0.217910448","0"
"Voluptas23","newly","available","12","2023-01-26","available","6","2021-03-19","available","23","2026-08-09","unavailable","","","0.422205438","0.446366782","0.736027515","0.8156956","0.7207"
"Veniam20","newly","unavailable","","","available","14","2023-09-30","unavailable","","","available","1","2020-01-09","0.487883683","0.706362153","0.412983425","0.797373358","0.974"
"Vel67","widely","available","7","2021-07-19","available","4","2020-07-20","available","18","2024-10-25","available","27","2027-09-15","0.813659359","0.205658324","0.312849162","0.426086957","0.00001"
"Ut47","newly","available","1","2020-01-13","available","28","2028-07-06","available","14","2023-09-10","unavailable","","","0.871428571","0.440191388","0.861830743","0.43030303","0.00001"
"Ut39","newly","available","27","2027-06-28","available","20","2025-10-14","available","8","2021-11-25","available","2","2020-01-30","0.437694704","0.522633745","0.343551797","0.534185659","0.162"
"Tenetur25","widely","available","7","2021-07-19","unavailable","","","available","1","2020-01-22","available","2","2020-01-30","0.563899868","0.505072077","0.719785139","0.274766355","0"
"Suscipit49","widely","available","14","2023-08-30","available","4","2020-07-20","unavailable","","","available","3","2020-07-08","0.786375105","0.357072206","0.07587769","0.505034446","0.00001"
"Suscipit41","newly","available","8","2021-11-21","available","3","2020-05-07","available","12","2023-01-18","available","3","2020-07-08","0.199275362","0.537822878","0.431637032","0.432142857","0.00001"
"Sapiente33","newly","available","7","2021-07-19","available","20","2025-10-14","available","12","2023-01-18","available","4","2020-11-24","0.486518874","0.246192893","0.921311475","0.538998098","0"
"Rerum26","newly","available","10","2022-06-05","available","25","2027-07-19","available","2","2020-01-20","available","8","2022-01-19","0.669444444","0.539035981","0.400457666","0.349862259",""
"Ratione74","newly","available","1","2020-01-13","unavailable","","","available","4","2020-07-25","available","14","2023-09-17","0.387118194","0.447254781","0.73705834","0.418867925","0.00001"
"Popover","newly","available","2","2020-01-05","available","7","2021-06-21","available","18","2024-10-25","available","9","2022-06-11","0.743137255","0.56263048","0.688542825","0.411938099","0.8638"
"Nisi24","widely","available","9","2022-03-16","available","22","2026-06-16","available","18","2024-10-25","unavailable","","","0.272394881","0.292907801","0.887912088","0.97616468","0.5925"
"Nihil45","newly","available","11","2022-11-01","available","6","2021-03-19","available","1","2020-01-22","unavailable","","","0.315359477","0.138834951","0.39619883","0.364766082","0.0674"
"Natus68","widely","unavailable","","","available","10","2022-06-01","available","11","2022-10-20","available","6","2021-04-18","0.407120743","0.414983713","0.273451327","0.579576817",""
"Input Date Time","newly","unavailable","","","available","4","2020-07-20","available","16","2024-03-18","available","1","2020-01-09","0.722374429","0.867114094","0.915285451","0.805333333",""
"Impedit42","newly","available","13","2023-05-12","unavailable","","","available","8","2021-11-25","available","2","2020-01-30","0.268995633","0.326566637","0.677313677","0.299539171","0.6683"
"Explicabo31","newly","available","12","2023-01-26","unavailable","","","available","4","2020-07-25","available","26","2027-04-14","0.347047113","0.517808219","0.569444444","0.59569378","0.00001"
"Expedita32","widely","available","11","2022-11-01","available","9","2022-01-12","unavailable","","","unavailable","","","0.61","0.690671031","0.433333333","0.901574803","0.5831"
"Est29","newly","unavailable","","","available","13","2023-06-14","available","3","2020-05-07","available","5","2021-02-08","0.502762431","0.411467116","0.023305085","0.459315589",""
"Est17","widely","available","17","2024-07-23","available","12","2023-02-01","available","1","2020-01-22","available","4","2020-11-24","0.031331593","0.143153527","0.294609665","0.950704225",""
